employer,headline,occupation,ai_industry,ai_locations,ai_technology
"SEB Pension och Försäkring AB","Senior .Net developer - Offer - SEB Life & Pension",Systemutvecklare/Programmerare,Insurance,Nordics,".Net ,OpenShift ,GitHub ,Azure Pipelines"
"SEB Pension och Försäkring AB","Business Intelligence Developer","Data Warehouse specialist","Life Insurance",Sweden,"QlikView ,Tableau"
"SEB Pension och Försäkring AB","Senior Data Warehouse Developer to SEB","Data Warehouse specialist","Life Insurance",Sweden,"ETL/ELT,Data Pipelines,SSIS,Advanced SQL,T-SQL,C#,Python,Java,MSSQL,Google Cloud Platform"
"SEB Pension och Försäkring AB","Business Intelligence Developer BIDW","Data Warehouse specialist","Life Insurance","Not mentioned","MS SQL ,Google Cloud,AWS,Azure,BigQuery,Pub/Sub,Dataflow,Python /SQL"
"SEB Pension och Försäkring AB","Senior .Net developer - Offer - SEB Life & Pension",Systemutvecklare/Programmerare,Insurance,"Not mentioned",".Net,OpenShift,GitHub,Azure Pipelines"
"SEB Pension och Försäkring AB","Tester to our Business Intelligence Warehouse at SEB Pension & Försäkring",Systemtestare,"Life Insurance","Not mentioned","Data Warehousing ,ETL,Data Modelling (Snowflake),Test Automation,Agile Principles"
"SEB Pension och Försäkring AB","Senior .Net developer to SEB Life & Pension",Systemutvecklare/Programmerare,Insurance,"Not mentioned",".Net,OpenShift,GitHub,Azure Pipelines"
"Swedbank AB Huvudkontor","ÄNTLIGEN JOBB: System Administrator",Systemadministratör,"Not mentioned","Not mentioned","CheckPoint R80 Firewall,Cisco Routing/Switching,Iron Port (Cisco Email Secure Gateway),Blue Coat Secure Gateway,LTM, F5"
"Swedbank AB Huvudkontor","ÄNTLIGEN JOBB - Project Management Office","Projektledare, IT","Finance, Trading, Treasury and Risk Management","CFO Office","Project Management Office (PMO) ,Business Driven Projects ,Processes ,Project Coordination ,Project Administration ,Project Processes ,Communication"
"Swedbank AB Huvudkontor","Äntligen Jobb: Resource Co-ordinator på Swedbank Group IT",IT-samordnare,Banking,"Not mentioned","CA (Consultant Administration),PID (Employee Identification number in Swedbank),Swedbank ID (Employee Identification card in Swedbank),Lync,POL (Time reporting system)"
"Swedbank AB","Architect - Continuous Delivery and Test   ",IT-arkitekt/Lösningsarkitekt,"Banking and Fintech","Stockholm Umeå, Tallinn, Riga and Vilnius","Continuous Integration,Continuous Delivery,Platform as a Service (PaaS),Cloud Based Test Frameworks,Container Technology,Container Orchestration"
"Swedbank AB","Continuous Delivery Coach ","Projektledare, IT","Banking and Fintech","Stockholm, Umeå, Tallinn, Riga, Vilnius","Continuous Delivery,Continuous Integration,GIT,Jenkins,Test Automation"
"Swedbank AB","Software Engineer – DevOps",Mjukvaruutvecklare,Banking,Swedbank,"Git,Jenkins,Gradle,Java,Javascript,Angular JS,NodeJS"
"Swedbank AB","Continuous Delivery and Test Engineer/Architect",IT-arkitekt/Lösningsarkitekt,"Banking and Fintech","Stockholm Umeå, Tallinn, Riga and Vilnius","Test Automation,Continuous Integration,Continuous Delivery,PaaS (Platform as a Service),Cloud based platforms,Container technology"
"Swedbank AB","Software Engineer/Test Analyst",Systemutvecklare/Programmerare,Banking,Stockholm,"Application Analyze and Testing,Linux,Solaris,Windows,Shell Scripting,Mainframe,ITIL,MQ"
"Swedbank AB","Android developer",Applikationsutvecklare/Apputvecklare,Banking,"Umeå, Sweden","Java,HTML,CSS3,JavaScript,Git,JSON,REST,Native Android Development"
"Swedbank AB","IOS Developer",Applikationsutvecklare/Apputvecklare,Banking,"Umeå, Sweden","Objective-C,Swift,JSON,REST,HTML,CSS3,JavaScript,Git"
